,City,Country,Lat,Lng,Hotel Name
313,coquimbo,CL,-29.95,-71.34,Apart Hotel La Fuente
314,boone,US,39.03,-92.33,
315,kitgum,UG,3.28,32.89,Cactus
316,makat,KZ,47.65,53.35,Gostinitsa Daulet
317,college,US,64.86,-147.8,Pike's Waterfront Lodge
318,chuzhou,CN,32.32,118.3,Ibis Chuzhou 1912
319,aksu,CN,41.12,80.26,Pudong Holiday Hotel
320,avera,US,33.19,-82.53,
321,ayagoz,KZ,47.97,80.44,Zhas-Nur
322,ambilobe,MG,-13.2,49.05,Hotel National
323,singaraja,ID,-8.11,115.09,Bali Taman Beach Resort and Spa-Lovina
324,touros,BR,-5.2,-35.46,Pousada Amigos do Vento
325,karratha,AU,-20.74,116.85,Karratha International Hotel
326,sohbatpur,PK,28.52,68.54,Kattah Hotel
327,valverde del camino,IT,37.58,15.12,Four Points by Sheraton Catania Hotel & Conference Center
328,skerries,IE,53.58,-6.11,The Redbank Guesthouse
329,ambovombe,MG,-25.17,46.08,Hotel Le Source
330,banepa,NP,27.63,85.52,The Dwarika's Resort
331,carutapera,BR,-1.2,-46.02,HOTEL R. SOARES
332,beni suef,CD,0.5,29.47,Albertine Hotel
333,yar-sale,RU,66.83,70.83,"Hotel ""Nord House"""
334,sompeta,IN,18.93,84.6,
335,nyurba,RU,63.28,118.33,Gostinitsa Alrosa
336,awjilah,LY,29.11,21.29,
337,cockburn town,AU,-32.08,141.0,Coburn Hotel
338,tripoli,LY,32.88,13.19,Radisson Blu Al Mahary Hotel
339,kilindoni,TZ,-7.91,39.67,Afro Beach Bungalows Mafia
340,belaya gora,UA,49.03,25.77,Hetman
341,marhaura,IN,25.97,84.87,
342,tchollire,CM,8.4,14.17,
343,vostok,RU,46.49,135.88,
344,catio,GW,11.28,-15.25,
345,eydhafushi,MV,5.1,73.07,Soneva Fushi
346,nkoteng,CM,4.52,12.03,Sanaga Beach Lodges
347,zaysan,KZ,47.47,84.87,Rahat Hotel
348,bousso,TD,10.48,16.71,
349,inverness,GB,57.48,-4.22,Loch Ness Country House Hotel
350,shibetsu,JP,43.66,145.13,Hotel Kawabata Shibetsu
351,san quintin,ML,13.3,-4.9,Hôtel Teriya
352,olafsvik,IS,64.89,-23.71,Hotel Olafsvik
353,kharp,RU,66.8,65.81,"Hotel ""Sob"""
354,mudon,MM,16.26,97.72,
355,boyolangu,ID,-8.12,111.89,Crown Victoria Hotel
356,saint-augustin,CA,51.23,-58.65,
357,arlit,NE,18.74,7.39,
358,taoudenni,ML,22.68,-3.98,
359,zapolyarnyy,RU,69.42,30.81,Pechenga
360,danane,CI,7.26,-8.15,Hotel Paloma
361,sambava,MG,-14.27,50.17,Carrefour
362,naze,JP,28.37,129.48,Hotel New Amami
363,rocky mountain house,US,35.16,-99.06,
364,axim,GH,4.87,-2.24,Axim Beach Hotel
365,lircay,PE,-12.99,-74.72,hospedaje centro
366,kiunga,PG,-6.12,141.29,Cassowary Hotel
367,torbay,CA,47.67,-52.73,
368,miracema do tocantins,BR,-21.41,-42.2,Novo Hotel Varandas
369,tazovskiy,RU,67.47,78.7,Hotel Tazovchanka
370,mweka,CD,-4.85,21.57,
371,redmond,US,47.67,-122.12,Hyatt House Seattle/Redmond
372,longkou,CN,37.65,120.33,Runhui Hotel
373,mafeteng,LS,-29.82,27.24,
374,najran,SA,17.49,44.13,
375,griffith,US,41.53,-87.42,Best Western Crossroads Inn
376,virginia beach,US,37.55,-77.45,Hilton Richmond Downtown
377,sedona,US,34.87,-111.76,Sedona Rouge Hotel and Spa Trademark Collection by Wyndham
378,dingle,PH,11.0,122.67,
379,pinyug,RU,60.25,47.78,
380,sikonge,TZ,-5.63,32.77,Harmony Palace Lodge
381,naryan-mar,RU,67.67,53.09,Hostel Agat
382,smrzovka,CZ,50.74,15.25,Hotel Bon
